Ref,Val,Package,PosX,PosY,Rot,Side
"G***","LOGO","pcb way logo",-29.300000,65.000000,-90.000000,bottom
"C1","100pF","C_Disc_D3.8mm_W2.6mm_P2.50mm",51.450000,49.850000,90.000000,top
"C2","10uF","CP_Radial_D5.0mm_P2.50mm",48.100000,39.200000,-90.000000,top
"C4","100pF","C_Disc_D3.8mm_W2.6mm_P2.50mm",75.575000,43.825000,180.000000,top
"C5","10uF","CP_Radial_D5.0mm_P2.50mm",66.100000,40.100000,-90.000000,top
"C7","47uF","CP_Radial_D5.0mm_P2.50mm",29.300000,33.500000,0.000000,top
"C8","47uF","CP_Radial_D5.0mm_P2.50mm",40.900000,21.250000,0.000000,top
"C9","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",67.500000,54.600000,180.000000,top
"C10","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",54.690000,23.590000,90.000000,top
"C11","100nF","C_Disc_D3.8mm_W2.6mm_P2.50mm",58.240000,26.090000,-90.000000,top
"D1","LED_Small_ALT","LED_D5.0mm_Clear",52.880000,78.310000,-90.000000,top
"D2","LED_Small_ALT","LED_D5.0mm_Clear",60.840000,78.300000,-90.000000,top
"D3","LED_Small_ALT","LED_D5.0mm_Clear",68.920000,78.300000,-90.000000,top
"D4","LED_Small_ALT","LED_D5.0mm_Clear",76.770000,78.320000,-90.000000,top
"D5","LED_Small_ALT","LED_D5.0mm_Clear",11.675000,30.725000,0.000000,top
"J1","Conn_01x15","PinHeader_1x15_P2.54mm_Vertical",40.825000,47.010000,180.000000,top
"J2","Conn_01x15","PinHeader_1x15_P2.54mm_Vertical",5.750000,46.950000,180.000000,top
"J3","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",40.560000,32.900000,90.000000,top
"J4","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",47.560000,32.900000,90.000000,top
"J5","Conn_01x02","PinHeader_1x02_P2.54mm_Vertical",63.560000,32.900000,90.000000,top
"J6","UART","PinHeader_1x03_P2.54mm_Vertical",15.500000,21.165000,0.000000,top
"J7","UART","PinHeader_1x03_P2.54mm_Vertical",12.900000,21.165001,0.000000,top
"J8","UART","PinHeader_1x03_P2.54mm_Vertical",15.500000,11.625000,0.000000,top
"J9","UART","PinHeader_1x03_P2.54mm_Vertical",12.900000,11.625000,0.000000,top
